Name,Num,Score
Guangyu Song,85,0.11387
林湧森 (Dyson Lin),86,0.11401
allineedistry,87,0.11401
Dan Ofer,88,0.11401
Eric Hamers,89,0.11401
Haiyang Wang,90,0.11401
Joe Young,91,0.11401
loquita,92,0.11401
MCDemo,93,0.11401
Migs Rocha,94,0.11401
Prajit Datta,95,0.11401
Prashant Kikani,96,0.11401
yilibin,97,0.11411
SolomonWHG,98,0.11412
Atul_Anand,99,0.11414
Bowen_who,100,0.11414
早上好,101,0.11415
Tyler Fincannon,102,0.11415
Argent,103,0.11416
charchit bakliwal,104,0.11416
inf.turing,105,0.11416
Jaime Andrés,106,0.11416
Jesse Toftum,107,0.11416
Juanpvalue,108,0.11416
Marlowe Chung,109,0.11416
Mathur,110,0.11416
Never say oh,111,0.11416
nihal88,112,0.11416
RanLiu,113,0.11416
Shimanto,114,0.11416
SHUO.J,115,0.11416
stonebox,116,0.11416
Takeshi Wakasugi,117,0.11416
yamazaki,118,0.11416
Zeongwan,119,0.11416
BOOM!,120,0.11418
Haodayede007,121,0.11419
kurossssss,122,0.11419
rayment,123,0.11419
HAOYU-LI,124,0.1142
JiansheFeng,125,0.1142
201610214832-郑雯华,126,0.11421
aptx4869yuyang,127,0.11421
bassbone,128,0.11421
BhaskarD,129,0.11421
freepy,130,0.11421
huihui123456,131,0.11421
liuyinglxl,132,0.11421
Mingxu Zhao ,133,0.11421
notfinally,134,0.11421
Rajiv_Kumar,135,0.11421
Roman,136,0.11421
Samrat,137,0.11421
Vlado,138,0.11421
xiangjian chen,139,0.11421
NewShould,140,0.11422
ZCFeng96,141,0.11424
Zhenbiao Hu,142,0.11428
Tiago Leite,143,0.11429
Daniel Marcous,144,0.11432
hugo,145,0.11433
Dmitry Storozhenko,146,0.11437
Alaa Houimel,147,0.11439
Amit Choudhary,148,0.11439
gaochen,149,0.11439
Richard Giles,150,0.11439
JohnSon Lui,151,0.11441
Onon,152,0.11441
aaXXXaa,153,0.11443
Kheirallah Samaha,154,0.11443
JeffZhang,155,0.11444
Zhao Xingchen,156,0.11444
hbo,157,0.11446
Jet Red,158,0.11448
Niklas Donges,159,0.11448
Michael Wu,160,0.11449
Ocean J,161,0.1145
Jiji,162,0.11451
sunlovefly,163,0.11451
Michael Wan,164,0.11453
VeniVidiVici,165,0.11457
robjan,166,0.1146
superlsg,167,0.11463
hobbitish1500010660,168,0.11464
YiwenTang,169,0.11464
shuaishuaiw,170,0.11465
Luca Basanisi,171,0.11466
Quentin-w,172,0.11466
s02311071,173,0.11466
Tiger,174,0.11466
Lingheng Zhu,175,0.11467
jtilden,176,0.11471
Erik Bruin,177,0.11475
krrish555,178,0.11475
SUN K,179,0.11475
YJ5069,180,0.11475
lw163NTU,181,0.11479
Johnny Liu,182,0.1148
Hot Omelettes,183,0.11482
jianliang,184,0.11482
Tony YAN,185,0.11482
Andy Xie,186,0.11484
Daniele Milan,187,0.11486
XQ| |QX,188,0.11486
caiw94,189,0.11488
ErSHui,190,0.11488
Wavy Dude,191,0.11488
yuguosen,192,0.11492
CantTakeNoMore,193,0.11493
Zhang Xu,194,0.11494
declan,195,0.11495
guoshuai,196,0.11495
Liangming,197,0.11495
Xinyu Du,198,0.11495
Yuki Kajita,199,0.11495
Oishii,200,0.11497
tiy22,201,0.11497
Brian_Cai,202,0.11498
juno chen,203,0.11499
Qiao Xie,204,0.11499
eriksold_OL,205,0.11501
Issam Wahbi,206,0.11502
Vancuicide,207,0.11502
VarunSukumar,208,0.11502
JoCo,209,0.11503
Yasufumi Nakama,210,0.11503
breahting,211,0.11505
SinanKefeli,212,0.11508
hobbitish,213,0.1151
David Tennant,214,0.11513
kzhang0907,215,0.11513
aishan,216,0.11514
Adam Z,217,0.11515
Tommy,218,0.11515
cookiepapa 2,219,0.11516
KingChen,220,0.11516
liketm,221,0.11516
rsasaki,222,0.11516
tmon01,223,0.11516
Yac science,224,0.11516
就怕没有梦,225,0.11517
Richard Hachar,226,0.11517
liwenjie,227,0.11518
Arun Godwin Patel,228,0.11519
ClarkHHHH,229,0.11519
michel,230,0.11519
riku,231,0.11521
Yesi Xie,232,0.11521
BaoShu,233,0.11522
CyrilGMustWin,234,0.11522
kabefan,235,0.11522
Luk Wing San ,236,0.11522
jun8814,237,0.11523
chenye,238,0.11525
eric227,239,0.11525
Mango_zhou,240,0.11525
Alex Goltzman,241,0.11526
AnkitKamboj,242,0.11526
Misha Lisovyi,243,0.11527
xiaotiange,244,0.11529
ClarkYu,245,0.11531
Yurii Malna,246,0.11531
AmanSrivastava,247,0.11533
AnthonyKu,248,0.11533
asmohit1,249,0.11533
ChuYJ,250,0.11533
ComputersWillKillUsAll,251,0.11533
Emmy,252,0.11533
g0alshhhit,253,0.11533
G31,254,0.11533
invalid username,255,0.11533
Jamest,256,0.11533
Jiankai Zhou,257,0.11533
John.Z,258,0.11533
Lauren Hiltz,259,0.11533
manxi xiao,260,0.11533
minh,261,0.11533
Mohamed Shawky DG,262,0.11533
Nadnahc,263,0.11533
Nick Styles,264,0.11533
NTUGIIE,265,0.11533
Overfitter beginner,266,0.11533
pankajgarg123,267,0.11533
qinbao0401,268,0.11533
radar444,269,0.11533
Raman Ahuja,270,0.11533
Shuaishuai,271,0.11533
sobalgi,272,0.11533
techiemonk,273,0.11533
wanghongqu,274,0.11533
X_AirDu,275,0.11533
XJDoe,276,0.11533
YangZhouCSS,277,0.11533
ykone,278,0.11533
Zeyu Zhong,279,0.11533
Zhao-Pace,280,0.11533
Hamza Aziz,281,0.11535
Sai Teja Pratap,282,0.11537
conyzhang,283,0.11539
keeptryinguntiltheend,284,0.11539
Lansion,285,0.11539
Siyu Zhu,286,0.11539
Yang Yonggui,287,0.11539
yzdeng,288,0.11539
AlaskyLy,289,0.1154
banya Yoon,290,0.1154
branchchen,291,0.1154
Daniyal Asif,292,0.1154
DANRICCIARDELLI,293,0.1154
delimixx,294,0.1154
fatjoey,295,0.1154
Frédéric Crespo,296,0.1154
HiroyukiIshii,297,0.1154
Hosuke,298,0.1154
jenlosh17,299,0.1154
jingze,300,0.1154
Jorge Grave,301,0.1154
Junki Cho,302,0.1154
kimjane,303,0.1154
Miki Katsuragi,304,0.1154
myrvry,305,0.1154
n_miyagi,306,0.1154
ninc,307,0.1154
Pamin Rangsikunpum,308,0.1154
Pang,309,0.1154
Pierre Cayot,310,0.1154
Potassium Iodide,311,0.1154
szhu,312,0.1154
Tannmay Yadav,313,0.1154
Tom Tang,314,0.1154
vishal jindal,315,0.1154
xuyingh,316,0.1154
YANG PENG,317,0.1154
Linping,318,0.11541
Yanhaokagglematch,319,0.11541
GoKagglers,320,0.11542
Radha N,321,0.11542
Azeroth,322,0.11543
DEUS,323,0.11543
icdee,324,0.11543
Shuki Goto,325,0.11545
xmxkkk,326,0.11546
华 樊,327,0.11547
dabin,328,0.11547
lingyv,329,0.11547
rkthrasher,330,0.11547
Ariadne Fernandes,331,0.11548
Ashish James,332,0.11548
MiguelMartinsup201700321,333,0.11548
RomainHenneton,334,0.11548
5taku,335,0.11549
8pockets,336,0.11549
夕阳红,337,0.11549
Arya Hooper,338,0.11549
be better man,339,0.11549
Georgy Tskhondiya,340,0.11549
hlxxx26,341,0.11549
huaihuai,342,0.11549
janet0717,343,0.11549
karthikeyan,344,0.11549
KingdomRush,345,0.11549
Mohamd Ayman,346,0.11549
PiFan,347,0.11549
SanjanaS,348,0.11549
SiriusKing,349,0.11549
ueonofei,350,0.11549
ylzmdmoon,351,0.11549
Alexander Markov,352,0.1155
dbbxbb,353,0.1155
linchuan2020,354,0.1155
Liao Chen,355,0.11552
Liufx,356,0.11552
bocheng,357,0.11553
chunyanWANG,358,0.11553
Jack Roberts,359,0.11553
YuLin,360,0.11553
ETHZ D-INFK,361,0.11554
whatever2099,362,0.11554
AndreaPastelli,363,0.11556
Quel'Delar,364,0.11556
testpapa,365,0.11556
Xiong Haiquan,366,0.11556
Adheesh Juvekar,367,0.11557
Anton Buyskikh,368,0.11557
buyizhiyou,369,0.11557
Chopin Chen,370,0.11557
GiantCroc,371,0.11557
gilyexiao,372,0.11557
moreandmore,373,0.11557
rayshaw,374,0.11557
rohitgupta 3,375,0.11557
sahaitao,376,0.11557
zhangshuai,377,0.11557
zxyzazrq,378,0.11557
baixl,379,0.11558
GOPALJAISWAL,380,0.11558
HNUMLT,381,0.11558
hui zhang,382,0.11558
magicling725,383,0.11558
Patrick Stetz,384,0.11558
Tossorrow,385,0.11558
XuNingN,386,0.11558
Christina Wei,387,0.11559
DajiWu,388,0.11559
janiobachmann,389,0.11559
Jingchen Feng,390,0.11559
Madhur Gupta,391,0.11559
GodMing,392,0.1156
Kirill Mazayev,393,0.1156
Mike DiPalma,394,0.1156
SpiderPan,395,0.1156
Fernando Carneiro,396,0.11562
数据老大爷,397,0.11563
ahhhwc,398,0.11563
DWSDMVMV,399,0.11563
fasansiwei,400,0.11563
fengdelalala89,401,0.11563
Ganymede2,402,0.11563
happyinlearning,403,0.11563
HarryKoney,404,0.11563
Jiqing Sun,405,0.11563
Langning Liu,406,0.11563
Lu Yaxin,407,0.11563
Mrion,408,0.11563
Sidharth Menon,409,0.11563
smnh245,410,0.11563
Sunmingmin,411,0.11563
vanceyj,412,0.11563
Yu Hsiang,413,0.11563
zhangzhang,414,0.11563
Zuoyi Fu,415,0.11563
expandinguniverse,416,0.11564
funnykitty,417,0.11564
Team Gusi,418,0.11564
Weiliang Tan,419,0.11564
by_yzp,420,0.11565
rkikurin,421,0.11565
ippeter,422,0.11567
Mark B,423,0.11567
rewrite,424,0.11567
Hongdou,425,0.11568
ÉmilienChauvet,426,0.1157
leecy,427,0.1157
Teo Liang,428,0.1157
baimafeifei,429,0.11571
Hiroyuki Tachikawa,430,0.11571
jonsey,431,0.11571
RRR415,432,0.11571
siyuchen007,433,0.11571
stevenyang1988,434,0.11571
wenhan Liu,435,0.11571
Ashok & Matthew,436,0.11572
Cccccyclone,437,0.11572
liulupeng1122,438,0.11572
mgahmedeg,439,0.11572
salmon,440,0.11572
Senit_Co,441,0.11572
Upping the grad,442,0.11572
William Cao,443,0.11572
Ben Falandays,444,0.11574
dmatlock,445,0.11574
EvgeniiaShcherbinina,446,0.11574
Jude,447,0.11574
Shankar,448,0.11574
tom adedeji,449,0.11574
majjam,450,0.11575
a2821952,451,0.11576
Shun Kakinoki,452,0.11576
NK10,453,0.11577
Yongseon Kim,454,0.11577
Jayjhlee90,455,0.11578
Balachandar Kurella,456,0.11579
Jeff Lin,457,0.11579
Yanhua Qiu,458,0.11579
Chi Adiukwu,459,0.11582
fondas,460,0.11582
Kirill V,461,0.11582
Thotino GOBIN-GANSOU,462,0.11582
linecho,463,0.11583
Zero Michael,464,0.11584
Antonio Pio Ricciardi,465,0.11586
Tymon,466,0.11587
erikalien,467,0.11588
yugang,468,0.11588
DDD,469,0.1159
democaicai,470,0.1159
xwlero,471,0.1159
Bobby Huang,472,0.11592
飞翔的小鱼,473,0.11598
good man,474,0.11598
Rango,475,0.11598
wsywddr,476,0.11598
PU_YiYang,477,0.11599
Hamed Razavi,478,0.116
BlankandTest,479,0.11602
0x5242,480,0.11603
Michal Waszak,481,0.11603
Team IO,482,0.11603
RohithB,483,0.11604
vijaygupta,484,0.11605
Alex.Hsu,485,0.11606
lchern,486,0.11606
LocLuong,487,0.11606
yiyiang,488,0.11606
Jonas Erthal,489,0.11607
wangkai,490,0.11607
Ethan 3,491,0.11608
mmda,492,0.11608
whiskydry,493,0.11609
GoTo95,494,0.1161
MajorTom,495,0.11611
kt3472,496,0.11612
lilong,497,0.11612
isolater,498,0.11614
datascienceguy1,499,0.11615
fenggen,500,0.11615
Luis Beteta,501,0.11615
jdoregon,502,0.11616
rojiroji,503,0.11617
elbahdadi anass,504,0.11618
JaimeML,505,0.11618
Ronal Wu,506,0.11619
kirtap,507,0.1162
María ,508,0.11621
Alaa Awad,509,0.11623
bhudev,510,0.11623
FDS Sapienza - Maggioli Valente,511,0.11623
halo,512,0.11623
JustForFun,513,0.11623
NSS_ScreamingTurtles,514,0.11623
sachinmittal1,515,0.11623
Yaswanth Gosula,516,0.11623
Geetanjali Yadav,517,0.11624
rohitshetty,518,0.11624
haven,519,0.11625
SayambhuSen,520,0.11627
End Jake,521,0.11628
Robert Constable,522,0.11628
Mohammad Moin,523,0.11631
YogeshPugalia,524,0.11631
zheshifan,525,0.11631
yumengshan,526,0.11634
xiefengjuan,527,0.11636
Johann Eriksen,528,0.1164
Ayoub,529,0.11642
EURIA2019,530,0.11642
Yuanye Bao,531,0.11642
alexliutw,532,0.11644
Answer Lee,533,0.11644
abc,534,0.11645
Actuben,535,0.11646
Huang Chengrong,536,0.11646
Wanmo Chen,537,0.11646
chenzhan2017,538,0.11647
Johnqiu,539,0.11647
chenyingjie,540,0.11648
ML_CX,541,0.11649
zhbit92,542,0.11649
Anand Mohan,543,0.1165
Dutch,544,0.1165
hyacinthying,545,0.1165
Jaime Vera,546,0.1165
marvintulagan,547,0.1165
pandass,548,0.1165
thomasyx123,549,0.1165
Gun Deniz AKKOC,550,0.11651
UNIANDES201515760,551,0.11651
sahaitao163,552,0.11652
xiulian,553,0.11652
Das A Mannschaft,554,0.11653
bye data,555,0.11654
PiccoloSteam,556,0.11654
SevenBest,557,0.11654
UNIANDES201414718,558,0.11654
carlosf,559,0.11658
daniel1234f,560,0.11658
sanven1,561,0.11659
5isbetterthan1,562,0.1166
DivyaanandSinha,563,0.11664
Noy Eliahu,564,0.11665
littleluck,565,0.11666
RaghunandanPatthar,566,0.11669
AKosciansky,567,0.1167
Lex Toumbourou,568,0.1167
Amit Vikram,569,0.11671
Forkaggle,570,0.11671
Paresh Bhatia,571,0.11671
tomtom12,572,0.11672
Wiebe Vossen,573,0.11674
TFknight,574,0.11678
DangerZone,575,0.11679
Aman Goel,576,0.11681
adrianofragomeni 2,577,0.11682
adrianofragomeni 3,578,0.11682
chihang5,579,0.11682
wololo30,580,0.11682
luyq07,581,0.11684
Yi Zhou,582,0.11684
Jacob van Steyn,583,0.11685
Sky Cao,584,0.11689
AleArto,585,0.1169
worker god,586,0.1169
Manasarovar,587,0.11691
Hendra Wahyu,588,0.11692
doejohn3,589,0.11693
soundquiet,590,0.11694
Xiaowan(Abby)Liu,591,0.11694
Dennis Lyubyvy,592,0.11699
zhaoyin,593,0.11699
Bohdan Yevchenko,594,0.11702
Yaruo Tang,595,0.11703
Testing On 1,596,0.11704
bbb1234,597,0.11705
Ironfish,598,0.11705
UNIANDES201423245,599,0.11705
olegrgv,600,0.11707
wsxxxx,601,0.11707
javeraj,602,0.11709
Li-Yen Hsu,603,0.11709
Pepito Perez,604,0.11709
UNIANDES200724150,605,0.11709
leonektc,606,0.1171
The Northern Expedition,607,0.11713
guoshuai1666,608,0.11714
yashgupta92,609,0.11714
Shravan Jain,610,0.11716
Ali ,611,0.11717
liqi,612,0.11717
sama,613,0.11717
NausheenSayed,614,0.1172
Andrey Glotov,615,0.11721
Gebreab K. Zewdie,616,0.11721
huangzsdy,617,0.11722
Jixie Ge,618,0.11722
rhenry,619,0.11723
NSS_waving_tigers,620,0.11724
Test Pancake,621,0.11724
shubh@iisc,622,0.11725
Simakis Panagiotis,623,0.11726
jolyanne boivin,624,0.11727
raistlink,625,0.11732
jlchen,626,0.11735
markeloff,627,0.11735
Suchith Mahajan,628,0.11735
JienLimi,629,0.11736
liaokaiguo,630,0.11736
littlejohnny,631,0.11736
Huilang,632,0.11738
MayInBlack,633,0.1174
MohiniPatel,634,0.11741
Kumar_gupta,635,0.11742
sajitkumar,636,0.11742
MineshJethva,637,0.11743
Pavan Sanagapati,638,0.11744
xiaofan123,639,0.11745
Anand Selvadurai,640,0.11746
LayaHsu,641,0.11746
Haojie W,642,0.11747
Reminz,643,0.11747
lileiseu,644,0.11748
AlexDembo,645,0.11753
mjheydarian,646,0.11753
OneMoreError,647,0.11753
Royal Bhati,648,0.11753
Rubén Salas,649,0.11753
Tech Maniac,650,0.11753
zhangxin,651,0.11753
UNIANDES201717296,652,0.11754
jtzhang,653,0.11757
Kun Li,654,0.11759
riddhisurve96,655,0.1176
Arnold Kuo,656,0.11761
Erostrato,657,0.11761
Lynne Cai,658,0.11761
AlanArnholt,659,0.11762
QinRens,660,0.11762
BronsonSabu,661,0.11764
shuayua,662,0.11764
Hui Qi,663,0.11766
Ramona Fli,664,0.11766
Grad,665,0.11767
Mishall Swain,666,0.11768
lihuaixian,667,0.11769
Justin Zint,668,0.1177
a1057117248,669,0.11773
Chaikesh,670,0.11773
Falcaotupapá,671,0.11774
Edward Smith,672,0.11775
Will Y. Lin,673,0.11775
guoshuai6,674,0.11782
jonhar,675,0.11782
liangtai,676,0.11782
Berra ,677,0.11784
jshuai,678,0.11784
danielo2,679,0.11785
Monfilier,680,0.11788
huangzw,681,0.11789
Kalicuta,682,0.1179
guoshuai66,683,0.11791
a_rafiq,684,0.11792
DanS,685,0.11792
FlyFish2018,686,0.11792
Mohit Makhija,687,0.11792
Zheng Fang,688,0.11793
ABU_DMTeam,689,0.11796
James Rodriguez,690,0.11796
Daniel A,691,0.11797
Himanshu Tandon,692,0.11797
Sebastián Espinosa,693,0.11797
niuniu0717,694,0.11798
Akash Agarwal,695,0.11799
SuleymanDurgut,696,0.11801
Testing On 2,697,0.11805
IBITM,698,0.11806
Brayan,699,0.11807
Brunno Ricci,700,0.11809
John C,701,0.11812
Qiaoran,702,0.11812
starshollow,703,0.11812
María Silva,704,0.11813
Mary Tang,705,0.11813
Oscar Garnica,706,0.11813
UNIANDES201314196,707,0.11813
huchunliang,708,0.11814
falin,709,0.11816
MichaelDAcampora,710,0.11816
camiloquesito,711,0.1182
DongdongLi,712,0.1182
Tong 1.0,713,0.1182
Golem13,714,0.11824
Ben Bond,715,0.11825
jingyi111,716,0.11826
S_haitao,717,0.11826
Monica,718,0.11827
Elie,719,0.1183
Marius Bjørkli,720,0.1183
guoshuai666,721,0.11831
Praveen gupta,722,0.11831
TeerYing,723,0.11831
Zheng Fang 2,724,0.11834
Grzegorz Niemiec,725,0.11835
Vang,726,0.11835
vehan,727,0.11835
MMissuat,728,0.11836
Akinwande Komolafe,729,0.11838
stripe,730,0.11838
Yujung Dong,731,0.11838
GeorgeKaplan,732,0.1184
gosk48,733,0.1184
Taylor Paul Davis,734,0.1184
Backdoor_Dogs,735,0.11841
Camilo Quesada,736,0.11843
Erika Robledo,737,0.11843
hidehidehide1984,738,0.11844
Testing On,739,0.11844
Anson Chang,740,0.11845
Debasish Patnaik,741,0.11845
Siddharth Gulati,742,0.11845
Andrei Romero,743,0.11847
Raven Hon,744,0.11847
Fei Fei,745,0.11848
notavailable,746,0.11848
Ricardo Azevedo 201403133,747,0.11848
mumianhuar,748,0.11849
Kangbw,749,0.11851
JohnnyJim,750,0.11852
mayxmc,751,0.11852
minami10,752,0.11852
smirk,753,0.11852
RS69),754,0.11853
Mr.Yi,755,0.11857
Stile,756,0.11857
PDonly,757,0.11858
MelRod,758,0.11859
Nate Talley,759,0.11859
Ian Dzindo,760,0.11862
cgermain904,761,0.11863
libo,762,0.11863
liumiki,763,0.11863
MariuszLasecki,764,0.11864
Chen Qian,765,0.11867
Michael Cohen,766,0.11867
masijia,767,0.11868
edify312,768,0.11874
Leandro Cruvinel Lemes,769,0.11875
Kailegh,770,0.11879
Computing33,771,0.11883
jason898,772,0.11883
henrychan28,773,0.11884
Javier Resano,774,0.11884
Beettle,775,0.1189
kanghua,776,0.1189
Keith Stone,777,0.11892
Rakshit Bazaz,778,0.11892
nikhilreddyp,779,0.11894
darthanand,780,0.11895
Noer Herlambang,781,0.11895
JPishikawa,782,0.11896
Prasad Gujar,783,0.11896
baptistequidet,784,0.11897
cmkcmk,785,0.11898
suzuki,786,0.11898
GForce,787,0.11899
Rukagensou,788,0.11899
Anshuman Mourya,789,0.119
Richard Sun,790,0.119
dengjia,791,0.11901
Nikita Gavrilov,792,0.11903
Soufiane Moutei,793,0.11903
Balazs Strenner,794,0.11905
Brian W.,795,0.11905
sibylzx0,796,0.11905
silverFox,797,0.11906
Tianfang,798,0.11909
Sheng Li,799,0.11911
Glenn Shooter,800,0.11912
H2OSIR,801,0.11913
Bhargav Shrivatsa,802,0.11914
cwzqxyat,803,0.11914
natasha11,804,0.11915
mczaka,805,0.11916
heejunpark,806,0.11917
DenesPanta,807,0.1192
Yujie,808,0.11923
Nicholas Brooks,809,0.11926
Allen.liu,810,0.11927
atahmasb,811,0.11927
Supercalifragilisticexpialidocious!,812,0.11927
Andres,813,0.11929
priyashree,814,0.11929
erya,815,0.11931
Hugo Sjöberg,816,0.11932
Lisheng,817,0.11936
Okra66,818,0.11936
Tryout,819,0.11936
Cyndy,820,0.11937
cfss,821,0.11942
bravomikekilo,822,0.11946
hosua3823,823,0.11946
rajatgupta19999,824,0.11946
adeebsoltanii,825,0.11949
BenjaminKaiser,826,0.11949
rupalidakhane,827,0.11949
UdayBhadang,828,0.11951
AndrewDuchaoLv,829,0.11952
Jen LeBlanc,830,0.11952
Dominik Stürzer,831,0.11953
sss444,832,0.11954
Anchors19,833,0.11955
Camelia Nicollet,834,0.11955
Kun Wu Yao,835,0.11955
dxkh642,836,0.11956
Thala,837,0.11956
dramatizedtiger,838,0.11957
JohnSuperD,839,0.11957
Daniel Garica,840,0.11959
Shuk Lin,841,0.11959
MuraliCheruvu,842,0.1196
sss456,843,0.1196
nerdy,844,0.11961
Zhiyi Chen,845,0.11962
alvin2017,846,0.11965
Chandu_Hiremath,847,0.11965
Logic,848,0.11965
Nitesh Tripathi,849,0.11966
Jiahao Yang,850,0.11967
Trevor Thomas,851,0.11967
Bri B,852,0.11968
manja1,853,0.11968
Chris Kirkham,854,0.1197
nihonjin,855,0.11971
capsuley,856,0.11973
limeng,857,0.11973
AndrewMartin-Smith,858,0.11974
Ashley DeMarte,859,0.11974
Caleb Davis,860,0.11974
Coleman Ross,861,0.11974
Faith Miller,862,0.11974
Hannah L,863,0.11974
Jonesb93,864,0.11974
Katie Bowman,865,0.11974
Kelly L ,866,0.11974
Kory illenye,867,0.11974
McCaskeyMj,868,0.11974
mehdisam,869,0.11974
MitchellHolman,870,0.11974
Russell Chamberlain,871,0.11974
saa184,872,0.11974
Samantha Widman,873,0.11974
SammyPshyk,874,0.11974
Samuel Powell,875,0.11974
Stephen Graham,876,0.11974
Tucker Southern,877,0.11974
Newmenji Jose Patris,878,0.11975
Jimmy_Xu,879,0.11976
Qiushi Wang,880,0.11976
Cooper,881,0.11977
cooperm24,882,0.11977
CDAA17DanielSalvador,883,0.11978
ViridisQuotient,884,0.11978
Alex Kruse,885,0.11979
Junhyeok Kang,886,0.11979
myJung,887,0.11979
Sai Shravani,888,0.11979
Luca Parolo,889,0.1198
Tae Jang,890,0.1198
Juan Pardo,891,0.11981
Arpan Mangal,892,0.11986
Diana Oquendo,893,0.11987
Sam O,894,0.11988
benyafang,895,0.11993
Airwaves,896,0.11994
Franzi O ,897,0.11998
Chrispy_Critter,898,0.11999
MiguelConde,899,0.11999
mengtian,900,0.12001
Farhan Zaidi,901,0.12003
jkufro,902,0.12003
lizhilizhi,903,0.12003
Abhi Hazra,904,0.12004
José Gascón,905,0.12005
kakarot,906,0.12005
Daya Jin,907,0.12007
Luc Brogat-Motte,908,0.12007
ridle,909,0.1201
Arian Zandi,910,0.12012
myprofilename,911,0.12013
FDS18,912,0.12015
ted xu,913,0.12017
kitasha,914,0.12018
Guilherme Araujo Gonçalves de Souza,915,0.12019
Kewei Li,916,0.12023
Luda Wang,917,0.12023
Mackenzie McCraw,918,0.12024
Matt Edmond,919,0.12024
Tanisha Ujjain,920,0.12024
phani krishna,921,0.12026
CesarPomar,922,0.12029
LatinoAlfredo,923,0.12029
mes921,924,0.1203
T. Wang,925,0.1203
Team UofR-2018,926,0.1203
Arthur Moraux,927,0.12032
schwalski,928,0.12033
wei meng,929,0.12033
DS2194new,930,0.12034
Marc Robert,931,0.12039
Mark JD Hamilton,932,0.12039
pomo_shawn,933,0.12039
片刻-ApacheCN ,934,0.12043
Dee1024,935,0.12043
liseth leon,936,0.12043
Seven0,937,0.12043
wangsw,938,0.12043
rajat22,939,0.12044
Aegis_Manish_Nanwani,940,0.12045
naruto10,941,0.12046
Sepheroni,942,0.12046
UNIANDES201423434,943,0.12046
aonibi,944,0.12047
monik,945,0.12048
Monish,946,0.12048
zhuangyuzou,947,0.12048
rishi2289,948,0.1205
Allen Ke,949,0.1206
James Hook,950,0.1206
Jjang Shin,951,0.1206
chcheng5,952,0.12063
Levi Yin,953,0.12063
Alis,954,0.12071
alsam12,955,0.12071
azari29,956,0.12071
jdentoncs,957,0.12072
kiran hiranandani,958,0.12072
Saar Yalov,959,0.12074
Matthias 2,960,0.12075
JetRedL,961,0.12076
The SportMan,962,0.12076
lafleur,963,0.12079
Zhongsheng,964,0.12079
changle,965,0.12081
duolafmeng,966,0.12081
Marquinhos Forbinhos,967,0.12081
MaggieWang,968,0.12083
donger,969,0.12085
m112_eddie,970,0.12085
a907471325,971,0.12086
Alex Xiao,972,0.12086
Analystwiz,973,0.12086
Andre Amaral,974,0.12086
"Carl, Kwok Chit Yin",975,0.12086
Chittibabu T,976,0.12086
cutoutsy,977,0.12086
czw123,978,0.12086
Daniel Choi,979,0.12086
Finch,980,0.12086
Gatsby,981,0.12086
guptesumedh,982,0.12086
harry 5,983,0.12086
